function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
my_matmul_func, 50, 50, 0.5, n_per_line, 0.000817060470581, , , , , , , , , 0.0617671012878, 
my_matmul_func, 50, 50, 0.75, ratio_based, 0.000181913375854, , , , , , , , , 0.0613272190094, 
my_matmul_func, 50, 50, 0.75, n_per_line, 0.000844955444336, , , , , , , , , 0.0617740154266, 
my_matmul_func, 50, 50, 1.0, ratio_based, 0.000168085098267, , , , , , , , , 0.0613169670105, 
my_matmul_func, 50, 50, 1.0, n_per_line, 0.000745058059692, , , , , , , , , 0.063022851944, 
my_matmul_func, 100, 100, 0.01, ratio_based, 0.000286102294922, , , , , , , , , 0.0612280368805, 
my_matmul_func, 100, 100, 0.01, n_per_line, 0.00155091285706, , , , , , , , , 0.0617101192474, 
my_matmul_func, 100, 100, 0.03, ratio_based, 0.000288009643555, , , , , , , , , 0.0610480308533, 
my_matmul_func, 100, 100, 0.03, n_per_line, 0.00155305862427, , , , , , , , , 0.0616068840027, 
my_matmul_func, 100, 100, 0.05, ratio_based, 0.000289916992188, , , , , , , , , 0.06085896492, 
my_matmul_func, 100, 100, 0.05, n_per_line, 0.00152802467346, , , , , , , , , 0.0605158805847, 
my_matmul_func, 100, 100, 0.1, ratio_based, 0.000304937362671, , , , , , , , , 0.0614750385284, 
my_matmul_func, 100, 100, 0.1, n_per_line, 0.00153803825378, , , , , , , , , 0.0619268417358, 
my_matmul_func, 100, 100, 0.15, ratio_based, 0.000304937362671, , , , , , , , , 0.0615720748901, 
my_matmul_func, 100, 100, 0.15, n_per_line, 0.00158214569092, , , , , , , , , 0.0614829063416, 
my_matmul_func, 100, 100, 0.2, ratio_based, 0.00031590461731, , , , , , , , , 0.0617918968201, 
my_matmul_func, 100, 100, 0.2, n_per_line, 0.00159287452698, , , , , , , , , 0.062243938446, 
my_matmul_func, 100, 100, 0.3, ratio_based, 0.000339984893799, , , , , , , , , 0.0618100166321, 
my_matmul_func, 100, 100, 0.3, n_per_line, 0.00155401229858, , , , , , , , , 0.0628411769867, 
my_matmul_func, 100, 100, 0.5, ratio_based, 0.000331878662109, , , , , , , , , 0.06489610672, 
my_matmul_func, 100, 100, 0.5, n_per_line, 0.00155401229858, , , , , , , , , 0.0632410049438, 
my_matmul_func, 100, 100, 0.75, ratio_based, 0.000311136245728, , , , , , , , , 0.0638728141785, 
my_matmul_func, 100, 100, 0.75, n_per_line, 0.00155806541443, , , , , , , , , 0.0636730194092, 
my_matmul_func, 100, 100, 1.0, ratio_based, 0.000263929367065, , , , , , , , , 0.0654358863831, 
my_matmul_func, 100, 100, 1.0, n_per_line, 0.00139188766479, , , , , , , , , 0.0639231204987, 
