function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, TF_setup2, tacotensor_init2, tacotensor_insert2, B_pack2, c_pack2, t_compile2, t_assemble2, t_compute2, format, computation_time, computation_time2, memory_usage
tf_sparse_matmul_func5, 10000, 10000, 0.05, ratio_based, 29.4696121216, , , , , , , , , , , , , , , , , -1, 1.59098291397, 0.0979280471802, 80080000
tf_sparse_matmul_func5, 10000, 10000, 0.06, ratio_based, 37.4775779247, , , , , , , , , , , , , , , , , -1, 1.89820504189, 0.115115880966, 96080000
tf_sparse_matmul_func5, 10000, 10000, 0.07, ratio_based, 41.5461559296, , , , , , , , , , , , , , , , , -1, 2.36270093918, 0.131824016571, 112080000
split_func2, 10000, 10000, 0.01, ratio_based, 6.1680150032, 0.0, 0.0802059173584, 122.8918221, 478.761066914, 1.37294101715, 0.0, 0.0, 0.0, 0.0127258300781, 0.0732460021973, 0.00616002082825, 0.0, 0.0, 57.1102340221, 0.0451440811157, 1.2930290699, 1, 0.938154935837, 0.0708961486816, 12120016
split_func2, 10000, 10000, 0.02, ratio_based, 11.4663300514, 0.0, 0.066299200058, 244.041779041, 987.85689187, 1.37338280678, 0.0, 0.0, 0.0, 0.0125110149384, 0.043240070343, 0.00535702705383, 0.0, 0.0, 58.974848032, 0.0428819656372, 2.54315185547, 1, 1.89474606514, 0.0743029117584, 24120016
split_func2, 10000, 10000, 0.03, ratio_based, 17.9307999611, 0.0, 0.0534999370575, 370.642984152, 1510.81677914, 1.39588999748, 0.0, 0.0, 0.0, 0.0120878219604, 0.0443329811096, 0.00560688972473, 0.0, 0.0, 60.2112729549, 0.0446422100067, 3.84195303917, 1, 2.86004090309, 0.0770609378815, 36120016
split_func2, 10000, 10000, 0.04, ratio_based, 23.960903883, 0.0, 0.0541379451752, 485.443744898, 2036.57890105, 1.39545989037, 0.0, 0.0, 0.0, 0.0135760307312, 0.0596928596497, 0.00596213340759, 0.0, 0.0, 63.2745199203, 0.0444481372833, 5.1004691124, 1, 3.82963609695, 0.0814468860626, 48120016
split_func2, 10000, 10000, 0.05, ratio_based, 28.9187321663, 0.0, 0.0531690120697, 626.857791901, 2583.86694694, 1.40015697479, 0.0, 0.0, 0.0, 0.0120310783386, 0.0518732070923, 0.00553011894226, 0.0, 0.0, 65.7316329479, 0.0421068668365, 6.66637086868, 1, 4.84154200554, 0.085070848465, 60120016
split_func2, 10000, 10000, 0.06, ratio_based, 36.2555439472, 0.0, 0.0590310096741, 742.663709879, 3118.21108103, 1.40781092644, 0.0, 0.0, 0.0, 0.0341598987579, 0.0446169376373, 0.00599598884583, 0.0, 0.0, 69.4300510883, 0.0442562103271, 8.1021399498, 1, 6.03326106071, 0.0907168388367, 72120016
split_func2, 10000, 10000, 0.07, ratio_based, 41.1306390762, 0.0, 0.0550560951233, 857.888345957, 3663.78930688, 1.43320703506, 0.0, 0.0, 0.0, 0.0123069286346, 0.0436060428619, 0.00535798072815, 0.0, 0.0, 74.5606248379, 0.0453679561615, 9.15109705925, 1, 6.79710793495, 0.0968520641327, 84120016
tf_sparse_matmul_func5, 250, 250, 0.01, ratio_based, 0.00364089012146, , , , , , , , , , , , , , , , , -1, 0.00609111785889, 0.0100159645081, 12000
tf_sparse_matmul_func5, 250, 250, 0.02, ratio_based, 0.00798296928406, , , , , , , , , , , , , , , , , -1, 0.00557994842529, 0.0101480484009, 22000
tf_sparse_matmul_func5, 250, 250, 0.03, ratio_based, 0.011029958725, , , , , , , , , , , , , , , , , -1, 0.00584006309509, 0.010195016861, 32000
tf_sparse_matmul_func5, 250, 250, 0.04, ratio_based, 0.0145988464355, , , , , , , , , , , , , , , , , -1, 0.006352186203, 0.0100858211517, 42000
tf_sparse_matmul_func5, 250, 250, 0.05, ratio_based, 0.0192739963531, , , , , , , , , , , , , , , , , -1, 0.00651502609253, 0.0100691318512, 52000
tf_sparse_matmul_func5, 250, 250, 0.06, ratio_based, 0.0221011638641, , , , , , , , , , , , , , , , , -1, 0.0063579082489, 0.0100951194763, 62000
tf_sparse_matmul_func5, 250, 250, 0.07, ratio_based, 0.0263550281525, , , , , , , , , , , , , , , , , -1, 0.00668096542358, 0.0101919174194, 72000
split_func2, 250, 250, 0.01, ratio_based, 0.00348782539368, 0.0, 0.0549371242523, 0.111698865891, 0.455242872238, 0.0390591621399, 0.0, 0.0, 0.0, 0.0114898681641, 0.0707569122314, 0.00566792488098, 0.0, 0.0, 52.0588891506, 0.0327620506287, 0.012510061264, 1, 0.0151221752167, 0.0639328956604, 10516
split_func2, 250, 250, 0.02, ratio_based, 0.00803208351135, 0.0, 0.074371099472, 0.185607910156, 0.727609872818, 0.0391340255737, 0.0, 0.0, 0.0, 0.0110199451447, 0.0426180362701, 0.00483298301697, 0.0, 0.0, 52.095402956, 0.0293219089508, 0.0131320953369, 1, 0.0149068832397, 0.0639100074768, 18016
split_func2, 250, 250, 0.03, ratio_based, 0.0108950138092, 0.0, 0.0745799541473, 0.244560003281, 1.00002503395, 0.0401980876923, 0.0, 0.0, 0.0, 0.00970816612244, 0.0569958686829, 0.00500202178955, 0.0, 0.0, 51.9489660263, 0.0334160327911, 0.0132548809052, 1, 0.015419960022, 0.0633020401001, 25516
split_func2, 250, 250, 0.04, ratio_based, 0.0152339935303, 0.0, 0.0577380657196, 0.327676057816, 1.26122283936, 0.041305065155, 0.0, 0.0, 0.0, 0.0141470432281, 0.0393118858337, 0.00476408004761, 0.0, 0.0, 52.1238329411, 0.0314738750458, 0.0137610435486, 1, 0.0158879756927, 0.0635161399841, 33016
split_func2, 250, 250, 0.05, ratio_based, 0.0197701454163, 0.0, 0.0590131282806, 0.395575046539, 1.478951931, 0.0402729511261, 0.0, 0.0, 0.0, 0.0114898681641, 0.0426201820374, 0.00480198860168, 0.0, 0.0, 52.1155309677, 0.0372989177704, 0.0150108337402, 1, 0.0164029598236, 0.0639929771423, 40516
split_func2, 250, 250, 0.06, ratio_based, 0.0221259593964, 0.0, 0.0553450584412, 0.459232807159, 1.7539498806, 0.0408639907837, 0.0, 0.0, 0.0, 0.0106229782104, 0.0420939922333, 0.00512909889221, 0.0, 0.0, 52.2214171886, 0.0335280895233, 0.0159211158752, 1, 0.0169720649719, 0.0640499591827, 48016
